#,project,commits per PR,changed files,churn,Comments (C) ,C  interval,merge workload,queue rank,desc length,contributor (Contrib.) experience,Contrib.  Integration,stack trace attached,activities,merge time
1,Yelp/mrjob,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,yiisoft/yii,NA,NA,"0,02","1,40",NA,"86,46",NA,"0,002","0,12","0,06",NA,NA,"11,94"
3,roots/sage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,vanilla/vanilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,processing/p5.js,"0,37","3,12","0,11",NA,NA,"1,26","5,42","0,003","17,95","71,45",NA,NA,"0,31"
6,bokeh/bokeh,"0,002","0,24","7,81","0,31",NA,"3,55","2,86","3,68","0,06","0,04",NA,"0,02","81,45"
7,serverless/serverless,"2,91",NA,"0,33",NA,NA,"71,14","0,72","2,05","2,84","17,08",NA,"2,86","0,08"
8,craftyjs/Crafty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,invoiceninja/invoiceninja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,scikit-image/scikit-image,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,dropwizard/dropwizard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,androidannotations/androidannotations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,aframevr/aframe,NA,"0,18",NA,"0,01",NA,"3,91","13,52","8,35","18,72","41,31",NA,"0,22","13,78"
14,jashkenas/backbone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,openhab/openhab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,bcit-ci/CodeIgniter,NA,"0,01",NA,NA,NA,"68,48",NA,"0,04","0,26","0,01",NA,"0,50","30,70"
17,mizzy/serverspec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,spinnaker/spinnaker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,sensu/sensu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,cython/cython,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,buildbot/buildbot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,jsbin/jsbin,NA,"0,12",NA,NA,NA,"44,92","15,32","0,96","9,38","27,35",NA,"0,88","1,07"
23,siacs/Conversations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,photonstorm/phaser,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,fchollet/keras,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,robolectric/robolectric,"0,16","0,002",NA,NA,NA,"0,64","76,47","1,24","0,02","0,22",NA,"11,17","10,08"
27,TelescopeJS/Telescope,NA,"2,05","0,01",NA,NA,"43,51","23,74","0,23","2,14","27,74",NA,"0,00","0,58"
28,andypetrella/spark-notebook,NA,"0,002","3,01","1,49",NA,"73,18",NA,"0,15","16,74","4,15",NA,"0,47","0,80"
29,apache/incubator-airflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,ReactiveX/RxJava,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,driftyco/ng-cordova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,haraka/Haraka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,isagalaev/highlight.js,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,bundler/bundler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,humhub/humhub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,square/picasso,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Netflix/Hystrix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
