#,Project,Linear Model,Number of PRs ,R squared,R squared - optimism,R squared - corrected
1,Yelp/mrjob,CI,274,"0,3294","0,0649","0,2645"
2,Yelp/mrjob,NO-CI,168,"0,1560","0,1076","0,0484"
3,yiisoft/yii,CI,644,"0,5880","0,0266","0,5614"
4,yiisoft/yii,NO-CI,148,"0,9062","0,0396","0,8665"
5,roots/sage,CI,156,"0,2154","0,0866","0,1288"
6,roots/sage,NO-CI,282,"0,1560","0,0478","0,1082"
7,vanilla/vanilla,CI,988,"0,1202","0,0350","0,0852"
8,vanilla/vanilla,NO-CI,112,"0,3018","0,1822","0,1196"
9,processing/p5.js,CI,334,"0,0723","0,0596","0,0127"
10,processing/p5.js,NO-CI,100,"0,5426","0,1857","0,3569"
11,bokeh/bokeh,CI,1417,"0,1949","0,0170","0,1779"
12,bokeh/bokeh,NO-CI,134,"0,7932","0,1996","0,5936"
13,serverless/serverless,CI,491,"0,5559","0,0339","0,5220"
14,serverless/serverless,NO-CI,285,"0,5849","0,0751","0,5098"
15,craftyjs/Crafty,CI,129,"0,9053","0,0158","0,8894"
16,craftyjs/Crafty,NO-CI,305,"0,1460","13,3251","-13,1791"
17,invoiceninja/invoiceninja,CI,143,"0,4212","0,6487","-0,2275"
18,invoiceninja/invoiceninja,NO-CI,286,"0,2725","1,9806","-1,7081"
19,scikit-image/scikit-image,CI,859,"0,5895","0,0104","0,5791"
20,scikit-image/scikit-image,NO-CI,219,"0,1928","0,2088","-0,0161"
21,dropwizard/dropwizard,CI,560,"0,4530","0,0200","0,4330"
22,dropwizard/dropwizard,NO-CI,157,"0,3935","0,0953","0,2982"
23,androidannotations/androidannotations,CI,198,"0,2141","0,2582","-0,0441"
24,androidannotations/androidannotations,NO-CI,215,"0,1892","0,1057","0,0835"
25,aframevr/aframe,CI,254,"0,8089","0,4712","0,3376"
26,aframevr/aframe,NO-CI,124,"0,7371","0,0720","0,6652"
27,jashkenas/backbone,CI,450,"0,1430","0,0339","0,1091"
28,jashkenas/backbone,NO-CI,252,"0,2702","0,1461","0,1241"
29,openhab/openhab,CI,506,"0,7474","0,0186","0,7288"
30,openhab/openhab,NO-CI,1008,"0,4111","0,0375","0,3736"
31,bcit-ci/CodeIgniter,CI,559,"0,8421","0,0138","0,8283"
32,bcit-ci/CodeIgniter,NO-CI,286,"0,9425","0,0129","0,9296"
33,mizzy/serverspec,CI,256,"0,2212","0,0890","0,1322"
34,mizzy/serverspec,NO-CI,100,"0,0463","29,6092","-29,5630"
35,spinnaker/spinnaker,CI,157,"0,0909","0,2059","-0,1149"
36,spinnaker/spinnaker,NO-CI,211,"0,4756","0,2111","0,2645"
37,sensu/sensu,CI,473,"0,1661","0,0868","0,0793"
38,sensu/sensu,NO-CI,229,"0,1907","0,1210","0,0696"
39,buildbot/buildbot,CI,913,"0,5859","0,0235","0,5623"
40,buildbot/buildbot,NO-CI,111,"0,1740","0,4135","-0,2395"
41,jsbin/jsbin,CI,516,"0,0838","0,0420","0,0418"
42,jsbin/jsbin,NO-CI,158,"0,5879","0,2284","0,3595"
43,siacs/Conversations,CI,113,"0,1816","0,7172","-0,5356"
44,siacs/Conversations,NO-CI,211,"0,1599","0,1551","0,0048"
45,photonstorm/phaser,CI,504,"0,1357","0,1783","-0,0426"
46,photonstorm/phaser,NO-CI,163,"0,2059","0,6329","-0,4270"
47,fchollet/keras,CI,211,"0,6989","0,0549","0,6441"
48,fchollet/keras,NO-CI,118,"0,4465","0,1888","0,2577"
49,robolectric/robolectric,CI,735,"0,2794","0,0348","0,2446"
50,robolectric/robolectric,NO-CI,204,"0,7665","0,0284","0,7381"
51,TelescopeJS/Telescope,CI,141,"0,3182","0,1367","0,1815"
52,TelescopeJS/Telescope,NO-CI,156,"0,5115","0,1017","0,4097"
